idx,z,x0,mBstar,x1,c,Mabs,MnoDisp
0,0.030175304199321927,0.0017269866687473297,17.410035807034895,-3.9825707922631706,0.08883516055223806,-18.267305362183393,-18.46358652010968
1,0.17119839925399988,0.0001085367731226303,20.412162035972905,-0.22861677085950838,0.1401553711444965,-19.23799436400796,-18.82804594205709
2,0.09765313557130141,0.0006191614498197396,18.51459803934995,3.3310368469877902,0.09352349088519762,-19.81545156922261,-19.472774920689652
3,0.15932347120438883,0.0003471421996691611,19.146437146910795,-1.5512700573156994,-0.32715590679754847,-20.33199805999329,-20.109764583413305
4,0.17666754365530837,0.0001268034885999757,20.24521545959873,-3.082114433863679,-0.10277388429471801,-19.480330089295762,-19.191111202060203
5,0.17744041359787338,0.0002468938703137834,19.516172469219747,1.0595188881300421,-0.27420141886769744,-20.219862930145073,-20.309050898163907
6,0.24830259895677714,0.0001828473185128299,19.839242721159803,1.9412126395736058,-0.3339317678036726,-20.71380883343358,-20.61998158867603
7,0.16567796424184414,3.260420478927012e-05,21.70924569120503,1.2915330313907791,0.39690220229710715,-17.862512622292446,-18.234938611384088
8,0.13336533801409176,0.0005022924444415968,18.74761777001986,-2.6114482613216348,-0.26498602570760843,-20.309577202255504,-19.766188378111153
9,0.02240584550025839,0.013853511779330632,15.14652549598543,-3.448262374606573,-0.2619634810344594,-19.871907311954992,-19.639546634522244
10,0.10074179791814905,0.0004949290359136893,18.764008797364625,-2.887039142495067,-0.25539774118149783,-19.638107079224874,-19.69750802961941
11,0.07551534979738783,0.0003263646998395903,19.21768892478103,-1.964505689057093,0.13981506327007098,-18.521561722818355,-18.58608971992725
12,0.035204278151452294,0.011637776709133242,15.327934969017104,1.6697904351530344,-0.3950638916383624,-20.69213828988928,-20.77387621677424
13,0.0026274520295399783,0.4494677462821603,11.36443764580184,2.22773980065951,0.24663470908881435,-18.967488162303944,-18.83769722026254
14,0.10733628915603104,0.0003719749816354488,19.074653304089836,0.5505645633635332,-0.12323016316070795,-19.47460402032018,-19.763898521032353
15,0.12807363380934983,0.00021323960674014797,19.681103304051643,-2.5218864632872684,-0.02396003825369597,-19.28086987092921,-19.02214645521813
16,0.005563369764513204,0.049731036225515876,13.755124386282798,-1.179950962809639,0.33368404819112707,-18.21067728833858,-18.0873726379347
